Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
Afghanistan,17,6445359,15,13
Albania,102,2906126,46,44
Algeria,35,15205854,19,16
Angola,64,20397115,41,22
Argentina,237,106474858,92,84
Armenia,73,2150112,38,33
Aruba,162,172216,84,78
Australia,229,57988175,88,86
Austria,207,18418001,77,75
Azerbaijan,137,13772531,53,48
Bahamas,88,340866,43,41
Bahrain,211,3456237,75,75
Bangladesh,171,279175368,80,73
Barbados,110,316377,57,54
Belarus,139,13206203,68,67
Belgium,224,25679062,81,80
Belize,126,493758,64,55
Benin,31,3681560,27,23
Bhutan,250,1910077,91,88
Bolivia,121,13892966,63,52
Bosnia and Herzegovina,58,1924950,29,26
Botswana,119,2730607,74,66
Brazil,217,458439642,88,80
Brunei,271,1173118,99,98
Bulgaria,63,4422847,30,30
Burkina Faso,15,2947625,12,7.7
Burundi,0,17139,0.1,0.1
Cambodia,248,40956960,91,87
Cameroon,7,1838907,6,4.7
Canada,230,86493313,87,84
Cape Verde,141,773810,65,56
Central African Republic,26,1217399,24,23
Chad,15,2356138,14,13
Chile,316,59964104,95,93
Colombia,170,85767160,84,72
Comoros,75,642320,40,35
Congo,4,3514480,3.4,2.6
Costa Rica,218,11017624,88,82
Croatia,129,5260110,57,55
Cuba,343,38839747,94,88
Curaçao,161,254367,69,63
Cyprus,149,1788761,56,54
Czech Republic,166,17679934,65,64
Denmark,227,13226703,83,82
Djibouti,23,222387,21,17
Dominican Rep.,147,15807312,67,56
Ecuador,206,35827364,87,81
Egypt,91,91447330,50,37
El Salvador,170,10998770,72,67
Equatorial Guinea,36,484554,20,15
Estonia,150,1994626,65,64
Eswatini,47,535393,34,29
Ethiopia,44,49687694,40,34
Fiji,181,1609748,79,71
Finland,221,12186022,82,79
France,219,146731437,81,79
French Polynesia,162,453259,67,65
Gabon,26,567575,14,12
Gambia,35,812811,19,15
Georgia,78,2902085,44,34
Germany,220,183126332,78,76
Ghana,61,18643437,34,24
Greece,197,21144574,74,71
Grenada,80,89257,39,34
Guatemala,109,18035992,50,38
Guinea,50,6329141,36,21
Guinea-Bissau,30,572954,28,18
Guyana,129,1013442,62,59
Haiti,3,342724,2.1,1.4
Honduras,149,14549986,65,56
Hong Kong,238,17731631,91,87
Hungary,169,16530488,66,63
Iceland,223,805469,86,80
India,145,1984334136,74,67
Indonesia,155,418977695,74,62
Iran,181,149957751,78,70
Iraq,47,18636865,28,19
Ireland,222,10988349,83,82
Israel,201,18195034,74,68
Italy,230,138427859,84,80
Ivory Coast,50,12753769,31,22
Jamaica,50,1462305,28,24
Japan,227,286515098,82,81
Jordan,99,10007983,48,45
Kazakhstan,113,20918681,51,50
Kenya,35,18535975,24,18
Kiribati,125,147497,69,52
Kosovo,99,1831127,49,45
Kuwait,193,8120613,82,79
Kyrgyzstan,49,3158250,24,20
Laos,152,10894482,81,71
Latvia,151,2894748,70,68
Lebanon,83,5673326,39,35
Lesotho,49,1043380,43,41
Liberia,55,2716330,50,43
Libya,53,3579762,33,17
Lithuania,161,4489741,70,67
Luxembourg,210,1304777,78,75
Macau,228,1442458,97,93
Madagascar,8,2369775,4.8,4.4
Mainland China,244,3407945000,93,90
Malawi,12,2166402,11,8.5
Malaysia,223,71301952,88,86
Maldives,178,945800,75,72
Mali,12,2406986,9.1,6.6
Malta,263,1320226,95,93
Mauritania,63,2872677,43,29
Mauritius,202,2559789,77,75
Mexico,164,209179257,69,63
Moldova,81,2165600,41,40
Mongolia,170,5492919,70,67
Montenegro,109,675561,47,46
Morocco,150,54846507,68,64
Mozambique,104,31616078,49,46
Myanmar,115,62259560,61,50
Namibia,33,825518,20,17
Nepal,164,46888075,82,71
Netherlands,192,33326378,74,69
New Caledonia,161,462133,65,63
New Zealand,228,11200855,87,84
Nicaragua,176,11512460,91,85
Niger,15,3530154,14,11
Nigeria,25,50619238,14,10
North Macedonia,89,1850145,41,40
Norway,214,11426055,81,76
Oman,142,7068002,66,61
Pakistan,128,277816514,64,59
Panama,198,8415997,82,73
Papua New Guinea,7,615156,3.8,3.2
Paraguay,127,8952310,56,49
Peru,240,77892776,91,85
Philippines,142,153852751,70,66
Poland,144,54624465,60,59
Portugal,240,24616852,95,87
Qatar,247,6981756,93,93
Republic of the Congo,15,831318,13,12
Romania,87,16827486,42,42
Russia,117,168992435,57,52
Rwanda,180,22715578,72,69
Saint Lucia,67,121663,33,30
Saint Vincent and the Grenadines,65,71501,33,28
Samoa,251,494684,99,99
São Tomé and Príncipe,102,218850,58,45
Saudi Arabia,195,66700629,78,73
Senegal,15,2523856,14,6.6
Serbia,123,8534688,48,47
Sierra Leone,45,3493386,34,24
Singapore,250,14242290,88,88
Slovakia,130,7076069,52,51
Slovenia,144,2996643,61,59
Solomon Islands,69,463637,42,27
Somalia,20,3143630,17,11
South Africa,63,36945840,38,33
South Korea,244,126062256,87,86
South Sudan,11,1226772,11,10
Spain,202,95245599,88,86
Sri Lanka,182,39602871,78,67
Sudan,19,8179010,16,11
Suriname,87,505699,46,41
Sweden,220,22674504,76,74
Switzerland,184,15772676,71,70
Syria,25,4232490,16,11
Taiwan,246,58463820,89,83
Tajikistan,148,13782905,56,54
Tanzania,15,8837371,13,7
Thailand,200,139536468,82,76
Timor-Leste,128,1652643,64,54
Togo,41,3290821,26,19
Tonga,232,242634,99,93
Trinidad and Tobago,113,1575183,54,51
Tunisia,113,13192714,62,55
Turkey,177,147861309,69,64
Turkmenistan,120,7140000,50,49
U.A.E.,255,24922054,99,99
U.K.,224,149664930,80,75
Uganda,49,21756456,37,25
Ukraine,71,31668577,36,34
United States,180,597655035,78,67
Uruguay,251,8694015,87,83
Uzbekistan,166,55782994,59,46
Vanuatu,103,309433,57,42
Venezuela,133,37860994,78,50
Vietnam,242,233534502,90,84
West Bank & Gaza,80,3734270,43,38
Yemen,3,864544,2.4,1.5
Zambia,41,7404709,18,26
Zimbabwe,82,12045572,43,32
